,userid,payment,budget,lat,long,smoker,cuisine
59,U1060,['cash'],['medium'],['23.715238'],['-99.158864'],['false'],"['Burgers', 'Cafeteria', 'Pizzeria', 'Juice', 'American', 'Tex-Mex', 'Spanish', 'Mexican', 'Fast_Food', 'Cafe-Coffee_Shop', 'Soup', 'Hot_Dogs', 'Italian']"
60,U1061,"['cash', 'bank_debit_cards']",['medium'],['22.140388'],['-100.937321'],['false'],['Mexican']
61,U1062,"['VISA', 'cash']",['medium'],['22.195826'],['-101.006317'],['false'],['Mexican']
62,U1063,['cash'],['medium'],['23.745096'],['-99.164357'],['false'],['Mexican']
63,U1064,['cash'],['medium'],['22.139511'],['-100.957002'],['false'],['Mexican']
64,U1065,['cash'],['medium'],['23.733665'],['-99.105617'],['false'],['Mexican']
65,U1066,"['cash', 'bank_debit_cards']",['low'],['18.890695'],['-99.157104'],['false'],['Mexican']
66,U1067,['cash'],['medium'],['23.752269'],['-99.168605'],['false'],['Mexican']
67,U1068,['cash'],['low'],['23.752269'],['-99.168605'],['false'],['Mexican']
68,U1069,"['MasterCard-Eurocard', 'cash']",['medium'],['19.347641'],['-99.130229'],['false'],['Mexican']
69,U1070,['cash'],['low'],['23.753237'],['-99.166868'],['false'],['Mexican']
70,U1071,['cash'],['high'],['22.154339'],['-100.975342'],['false'],['Mexican']
71,U1072,"['bank_debit_cards', 'cash']",['medium'],['18.86826'],['-99.212033'],['false'],['Mexican']
72,U1073,['cash'],['medium'],['22.15'],['-100.983'],['false'],['American']
73,U1074,"['bank_debit_cards', 'cash']",['medium'],['18.917'],['-99.25'],['true'],['Sushi']
74,U1075,['cash'],['medium'],['22.167575'],['-100.960364'],['false'],['Mexican']
75,U1076,"['VISA', 'cash', 'bank_debit_cards']",['medium'],['22.156469'],['-100.98554'],['false'],['Mexican']
76,U1077,"['VISA', 'cash', 'bank_debit_cards']",['medium'],['22.156469'],['-100.98554'],['false'],['Mexican']
77,U1078,"['VISA', 'bank_debit_cards', 'cash']",['medium'],['22.172109'],['-100.963199'],['true'],['Mexican']
78,U1079,['cash'],['medium'],['18.917'],['-99.25'],['false'],['Mexican']
79,U1080,['cash'],['low'],['23.743793'],['-99.163397'],['true'],['Mexican']
80,U1081,['cash'],['low'],['22.207749'],['-100.942383'],['false'],['Mexican']
81,U1082,['cash'],['medium'],['23.753061'],['-99.166095'],['true'],['Mexican']
82,U1083,['cash'],['medium'],['22.13392'],['-101.028373'],['false'],['Mexican']
83,U1084,['cash'],['medium'],['22.172524'],['-101.005758'],['true'],['Mexican']
84,U1085,['cash'],['medium'],['22.196787'],['-100.936335'],['false'],['Mexican']
85,U1086,"['VISA', 'bank_debit_cards', 'cash']",['medium'],['22.157281'],['-100.98444'],['false'],['Italian']
86,U1087,['cash'],['medium'],['23.753336'],['-99.167984'],['false'],['Chinese']
87,U1088,['cash'],['medium'],['22.142748'],['-100.940664'],['false'],['Mexican']
88,U1089,['cash'],['low'],['22.162562'],['-100.99313'],['true'],['Mexican']
89,U1090,['cash'],['medium'],['22.158473'],['-100.984268'],['false'],['Tex-Mex']
90,U1091,['cash'],['low'],['22.154677'],['-100.949013'],['false'],"['American', 'Mexican']"
91,U1092,['cash'],['medium'],['22.125365'],['-100.947888'],['false'],['Game']
92,U1093,"['American_Express', 'VISA']",['medium'],['18.871654'],['-99.183251'],['true'],['Japanese']
93,U1094,['cash'],['medium'],['23.73944'],['-99.160548'],['false'],['Mexican']
94,U1095,['cash'],['medium'],['22.179865'],['-101.018547'],['false'],['Italian']
95,U1096,['cash'],['medium'],['22.1455'],['-100.939593'],['false'],['Mexican']
96,U1097,['cash'],['medium'],['22.145471'],['-100.939588'],['false'],['Mexican']
97,U1098,['cash'],['medium'],['22.182571'],['-100.963232'],['false'],['Mexican']
98,U1099,"['cash', 'VISA']",['high'],['22.184862'],['-100.970535'],['true'],['Mexican']
99,U1100,['cash'],['medium'],['18.879729'],['-99.067106'],['false'],['Mexican']
100,U1101,['cash'],['low'],['22.150891'],['-100.974891'],['false'],"['Chinese', 'Italian', 'Doughnuts', 'Afghan', 'Mexican', 'Burgers', 'Latin_American', 'Contemporary', 'Cafe-Coffee_Shop', 'Family', 'Cafeteria', 'Bar', 'Australian', 'Hot_Dogs', 'Diner']"
101,U1102,['cash'],['low'],['22.137131'],['-100.941151'],['false'],['Pizzeria']
102,U1103,"['cash', 'bank_debit_cards']",['medium'],['23.752265'],['-99.16859'],['false'],['Mexican']
103,U1104,"['VISA', 'cash']",['medium'],['22.149005'],['-100.978153'],['true'],['Italian']
104,U1105,['cash'],['medium'],['22.120019'],['-100.950991'],['false'],['Cafeteria']
105,U1106,"['bank_debit_cards', 'cash']",['medium'],['18.927072'],['-99.173584'],['false'],['Barbecue']
106,U1107,"['bank_debit_cards', 'cash']",['high'],['23.742409'],['-99.171889'],['false'],['Mexican']
107,U1108,"['VISA', 'cash', 'MasterCard-Eurocard']",['medium'],['22.143524'],['-100.987562'],['false'],"['Cafe-Coffee_Shop', 'Sushi', 'Latin_American', 'Deli-Sandwiches', 'Mexican', 'Hot_Dogs', 'American', 'Fast_Food', 'Burgers', 'Asian', 'Pizzeria', 'Chinese', 'Dessert-Ice_Cream', 'Cafeteria', 'Japanese', 'Game', 'Family', 'Seafood']"
108,U1109,['cash'],['low'],['22.303308'],['-101.05468'],['false'],['Mexican']
109,U1110,['cash'],['medium'],['18.871678'],['-99.183263'],['false'],['Mexican']
110,U1111,['cash'],['medium'],['22.143078'],['-100.908523'],['true'],['Mexican']
111,U1112,['cash'],['medium'],['22.143078'],['-100.908523'],['true'],['Mexican']
112,U1113,"['VISA', 'cash']",['medium'],['22.137343'],['-100.913935'],['false'],['Burgers']
113,U1114,['cash'],['medium'],['22.177726'],['-101.014094'],['false'],['Mexican']
114,U1115,['cash'],['low'],['22.138127'],['-100.920512'],['true'],['Regional']
115,U1116,"['cash', 'bank_debit_cards', 'VISA']",['medium'],['22.156469'],['-100.98554'],['false'],['Mexican']
116,U1117,"['bank_debit_cards', 'cash']",['medium'],['18.875641'],['-99.220737'],['false'],['Turkish']
117,U1118,['cash'],['medium'],['18.940062'],['-99.228172'],['true'],['Pizzeria']
118,U1119,['cash'],['medium'],['18.96479'],['-99.260017'],['false'],['Mexican']
119,U1120,['cash'],['low'],['22.121857'],['-100.904279'],['false'],['Mexican']
120,U1121,"['cash', 'bank_debit_cards']",['medium'],['18.871674'],['-99.183253'],['false'],['Mexican']
121,U1122,['cash'],['medium'],['22.169601'],['-100.991821'],['false'],['Afghan']
122,U1123,['cash'],['medium'],['23.753112'],['-99.168567'],['false'],['Mexican']
123,U1124,['cash'],['low'],['22.137072'],['-100.918865'],['false'],['Mexican']
124,U1125,['cash'],['low'],['22.19204'],['-100.956935'],['false'],['Mexican']
125,U1126,['cash'],['low'],['22.15421'],['-100.942233'],['false'],['Mexican']
126,U1127,['cash'],['low'],['18.943935'],['-99.206532'],['false'],['Mexican']
127,U1128,['cash'],['low'],['22.187236'],['-100.994213'],['false'],"['Cafeteria', 'Hot_Dogs', 'Pizzeria', 'Mexican']"
128,U1129,['cash'],['low'],['23.728798'],['-99.134047'],['false'],['Mexican']
129,U1130,['cash'],['medium'],['23.733'],['-99.133'],['false'],['Mexican']
130,U1131,['cash'],['medium'],['22.138245'],['-100.910948'],['true'],['Mexican']
131,U1132,['cash'],['medium'],['22.15'],['-100.983'],['false'],['Mexican']
132,U1133,"['bank_debit_cards', 'cash']",['medium'],['18.886698'],['-99.114979'],['false'],['Mexican']
133,U1134,['cash'],['medium'],['22.149654'],['-100.99861'],['false'],['Mexican']
134,U1135,['cash'],['low'],['22.170396'],['-100.949936'],['false'],"['Organic-Healthy', 'Steaks', 'Middle_Eastern', 'Mediterranean', 'British', 'Austrian', 'Israeli', 'Doughnuts', 'Pizzeria', 'Seafood', 'Fast_Food', 'Moroccan', 'Hot_Dogs', 'Russian-Ukrainian', 'Malaysian', 'Burgers', 'Fusion', 'Korean', 'Japanese', 'Vegetarian', 'Turkish', 'Peruvian', 'Juice', 'Tapas', 'Eclectic', 'African', 'Basque', 'Canadian', 'Afghan', 'Diner', 'Irish', 'Sushi', 'Polynesian', 'Bagels', 'Tex-Mex', 'Cuban', 'Southwestern', 'Cafe-Coffee_Shop', 'Continental-European', 'Family', 'Indian-Pakistani', 'Tea_House', 'International', 'Pacific_Northwest', 'Australian', 'German', 'Regional', 'Spanish', 'Persian', 'Ethiopian', 'Romanian', 'Cambodian', 'Pacific_Rim', 'Tunisian', 'Filipino', 'Dim_Sum', 'Breakfast-Brunch', 'Contemporary', 'Greek', 'Thai', 'Swiss', 'Bar', 'Soup', 'American', 'Mongolian', 'Cajun-Creole', 'Armenian', 'Indigenous', 'Bar_Pub_Brewery', 'Hawaiian', 'Cafeteria', 'Lebanese', 'Chinese', 'Portuguese', 'Caribbean', 'Indonesian', 'Hungarian', 'Bakery', 'Dutch-Belgian', 'Deli-Sandwiches', 'Kosher', 'Fine_Dining', 'Jamaican', 'Tibetan', 'Latin_American', 'Southeast_Asian', 'Eastern_European', 'Mexican', 'Burmese', 'California', 'Game', 'Italian', 'Scandinavian', 'Chilean', 'Polish', 'North_African', 'Asian', 'Vietnamese', 'Barbecue', 'French', 'Brazilian', 'Southern', 'Dessert-Ice_Cream']"
135,U1136,['cash'],['low'],['22.149607'],['-100.997235'],['true'],['Mexican']
136,U1137,['cash'],['low'],['22.144803'],['-100.944623'],['false'],['Mexican']
137,U1138,['cash'],['medium'],['22.152884'],['-100.939663'],['false'],['Pizzeria']
