placeid,lat,long,name,price,smoking_area
135063,['22.156724'],['-100.975556'],['Restaurante Alhondiga'],['medium'],['none']
135064,['22.154687'],['-100.996617'],['Restaurante El Chivero S.A. de C.V.'],['high'],['none']
135065,['22.14958'],['-100.999557'],['El angel Restaurante'],['high'],['section']
135066,['22.16835'],['-100.972466'],['Restaurante Guerra'],['high'],['section']
135069,['22.140129'],['-100.944872'],['Abondance Restaurante Bar'],['?'],['none']
135070,['22.152918'],['-100.915164'],['Restaurante 75'],['medium'],['none']
135071,['22.126375'],['-100.910926'],['Restaurante la Cantina'],['medium'],['section']
135072,['22.149192'],['-101.002936'],['Sushi Itto'],['medium'],['none']
135073,['22.147175'],['-100.974269'],['Restaurante Bar El Gallinero'],['high'],['section']
135074,['22.149689'],['-100.999525'],['Restaurante la Parroquia Potosina'],['high'],['section']
135075,['22.139573'],['-100.991564'],['Mariscos El Pescador'],['medium'],['none']
135076,['22.181017'],['-100.973614'],['Restaurante Pueblo Bonito'],['high'],['none']
135079,['22.156376'],['-100.998355'],['Koye Sushi'],['high'],['none']
135080,['22.145008'],['-100.997969'],['los Toneles'],['high'],['section']
135081,['22.164842'],['-100.960493'],['El Club'],['medium'],['none']
135082,['22.151448'],['-100.915099'],['la Estrella de Dimas'],['medium'],['none']
135085,['22.150802'],['-100.98268'],['Tortas Locas Hipocampo'],['medium'],['not permitted']
135086,['22.141421'],['-101.013955'],['Mcdonalds Parque Tangamanga'],['?'],['not permitted']
135088,['18.8760113'],['-99.2198896'],['Cafeteria cenidet'],['low'],['not permitted']
135104,['23.7529821'],['-99.1684341'],['vips'],['medium'],['not permitted']
135106,['22.1497088'],['-100.9760928'],['El Rinc\xef\xbf\xbdn de San Francisco'],['medium'],['only at bar']
135108,['22.1362534'],['-100.9335852'],['Potzocalli'],['low'],['none']
135109,['18.9217848'],['-99.2353499'],['Paniroles'],['?'],['not permitted']
