userid,budget,lat,long,smoker,cuisine
U1059,['medium'],['18.988278'],['-99.097023'],['false'],['Mexican']
U1060,['medium'],['23.715238'],['-99.158864'],['false'],"['Burgers', 'Cafeteria', 'Pizzeria', 'Juice', 'American', 'Tex-Mex', 'Spanish', 'Mexican', 'Fast_Food', 'Cafe-Coffee_Shop', 'Soup', 'Hot_Dogs', 'Italian']"
U1061,['medium'],['22.140388'],['-100.937321'],['false'],['Mexican']
U1062,['medium'],['22.195826'],['-101.006317'],['false'],['Mexican']
U1063,['medium'],['23.745096'],['-99.164357'],['false'],['Mexican']
U1064,['medium'],['22.139511'],['-100.957002'],['false'],['Mexican']
U1065,['medium'],['23.733665'],['-99.105617'],['false'],['Mexican']
U1066,['low'],['18.890695'],['-99.157104'],['false'],['Mexican']
U1067,['medium'],['23.752269'],['-99.168605'],['false'],['Mexican']
U1068,['low'],['23.752269'],['-99.168605'],['false'],['Mexican']
U1069,['medium'],['19.347641'],['-99.130229'],['false'],['Mexican']
U1070,['low'],['23.753237'],['-99.166868'],['false'],['Mexican']
U1071,['high'],['22.154339'],['-100.975342'],['false'],['Mexican']
U1072,['medium'],['18.86826'],['-99.212033'],['false'],['Mexican']
U1073,['medium'],['22.15'],['-100.983'],['false'],['American']
U1074,['medium'],['18.917'],['-99.25'],['true'],['Sushi']
U1075,['medium'],['22.167575'],['-100.960364'],['false'],['Mexican']
U1076,['medium'],['22.156469'],['-100.98554'],['false'],['Mexican']
U1077,['medium'],['22.156469'],['-100.98554'],['false'],['Mexican']
U1078,['medium'],['22.172109'],['-100.963199'],['true'],['Mexican']
U1079,['medium'],['18.917'],['-99.25'],['false'],['Mexican']
U1080,['low'],['23.743793'],['-99.163397'],['true'],['Mexican']
U1081,['low'],['22.207749'],['-100.942383'],['false'],['Mexican']
U1082,['medium'],['23.753061'],['-99.166095'],['true'],['Mexican']
U1083,['?'],['22.13392'],['-101.028373'],['false'],['Mexican']
U1084,['medium'],['22.172524'],['-101.005758'],['true'],['Mexican']
U1085,['?'],['22.196787'],['-100.936335'],['false'],['Mexican']
U1086,['medium'],['22.157281'],['-100.98444'],['false'],['Italian']
U1087,['medium'],['23.753336'],['-99.167984'],['false'],['Chinese']
U1088,['medium'],['22.142748'],['-100.940664'],['false'],['Mexican']
U1089,['low'],['22.162562'],['-100.99313'],['true'],['Mexican']
U1090,['medium'],['22.158473'],['-100.984268'],['false'],['Tex-Mex']
U1091,['low'],['22.154677'],['-100.949013'],['false'],"['American', 'Mexican']"
U1092,['medium'],['22.125365'],['-100.947888'],['false'],['Game']
U1093,['medium'],['18.871654'],['-99.183251'],['true'],['Japanese']
U1094,['medium'],['23.73944'],['-99.160548'],['false'],['Mexican']
U1095,['medium'],['22.179865'],['-101.018547'],['false'],['Italian']
U1096,['medium'],['22.1455'],['-100.939593'],['false'],['Mexican']
U1097,['medium'],['22.145471'],['-100.939588'],['false'],['Mexican']
U1098,['medium'],['22.182571'],['-100.963232'],['false'],['Mexican']
U1099,['high'],['22.184862'],['-100.970535'],['true'],['Mexican']
U1100,['medium'],['18.879729'],['-99.067106'],['false'],['Mexican']
U1101,['low'],['22.150891'],['-100.974891'],['false'],"['Chinese', 'Italian', 'Doughnuts', 'Afghan', 'Mexican', 'Burgers', 'Latin_American', 'Contemporary', 'Cafe-Coffee_Shop', 'Family', 'Cafeteria', 'Bar', 'Australian', 'Hot_Dogs', 'Diner']"
U1102,['low'],['22.137131'],['-100.941151'],['false'],['Pizzeria']
U1103,['medium'],['23.752265'],['-99.16859'],['false'],['Mexican']
U1104,['medium'],['22.149005'],['-100.978153'],['true'],['Italian']
U1105,['medium'],['22.120019'],['-100.950991'],['false'],['Cafeteria']
U1106,['medium'],['18.927072'],['-99.173584'],['false'],['Barbecue']
U1107,['high'],['23.742409'],['-99.171889'],['false'],['Mexican']
U1108,['medium'],['22.143524'],['-100.987562'],['false'],"['Cafe-Coffee_Shop', 'Sushi', 'Latin_American', 'Deli-Sandwiches', 'Mexican', 'Hot_Dogs', 'American', 'Fast_Food', 'Burgers', 'Asian', 'Pizzeria', 'Chinese', 'Dessert-Ice_Cream', 'Cafeteria', 'Japanese', 'Game', 'Family', 'Seafood']"
U1109,['low'],['22.303308'],['-101.05468'],['false'],['Mexican']
U1110,['medium'],['18.871678'],['-99.183263'],['false'],['Mexican']
U1111,['medium'],['22.143078'],['-100.908523'],['true'],['Mexican']
U1112,['medium'],['22.143078'],['-100.908523'],['true'],['Mexican']
U1113,['medium'],['22.137343'],['-100.913935'],['false'],['Burgers']
U1114,['medium'],['22.177726'],['-101.014094'],['false'],['Mexican']
U1115,['low'],['22.138127'],['-100.920512'],['true'],['Regional']
U1116,['medium'],['22.156469'],['-100.98554'],['false'],['Mexican']
U1117,['medium'],['18.875641'],['-99.220737'],['false'],['Turkish']
U1118,['medium'],['18.940062'],['-99.228172'],['true'],['Pizzeria']
U1119,['medium'],['18.96479'],['-99.260017'],['false'],['Mexican']
U1120,['low'],['22.121857'],['-100.904279'],['false'],['Mexican']
U1121,['medium'],['18.871674'],['-99.183253'],['false'],['Mexican']
U1122,['?'],['22.169601'],['-100.991821'],['?'],['Afghan']
U1123,['medium'],['23.753112'],['-99.168567'],['false'],['Mexican']
U1124,['low'],['22.137072'],['-100.918865'],['false'],['Mexican']
U1125,['low'],['22.19204'],['-100.956935'],['false'],['Mexican']
U1126,['low'],['22.15421'],['-100.942233'],['false'],['Mexican']
U1127,['low'],['18.943935'],['-99.206532'],['false'],['Mexican']
U1128,['low'],['22.187236'],['-100.994213'],['false'],"['Cafeteria', 'Hot_Dogs', 'Pizzeria', 'Mexican']"
U1129,['low'],['23.728798'],['-99.134047'],['false'],['Mexican']
U1130,['?'],['23.733'],['-99.133'],['?'],['Mexican']
U1131,['medium'],['22.138245'],['-100.910948'],['true'],['Mexican']
U1132,['?'],['22.15'],['-100.983'],['false'],['Mexican']
U1133,['medium'],['18.886698'],['-99.114979'],['false'],['Mexican']
U1134,['medium'],['22.149654'],['-100.99861'],['false'],['Mexican']
U1135,['low'],['22.170396'],['-100.949936'],['false'],"['Organic-Healthy', 'Steaks', 'Middle_Eastern', 'Mediterranean', 'British', 'Austrian', 'Israeli', 'Doughnuts', 'Pizzeria', 'Seafood', 'Fast_Food', 'Moroccan', 'Hot_Dogs', 'Russian-Ukrainian', 'Malaysian', 'Burgers', 'Fusion', 'Korean', 'Japanese', 'Vegetarian', 'Turkish', 'Peruvian', 'Juice', 'Tapas', 'Eclectic', 'African', 'Basque', 'Canadian', 'Afghan', 'Diner', 'Irish', 'Sushi', 'Polynesian', 'Bagels', 'Tex-Mex', 'Cuban', 'Southwestern', 'Cafe-Coffee_Shop', 'Continental-European', 'Family', 'Indian-Pakistani', 'Tea_House', 'International', 'Pacific_Northwest', 'Australian', 'German', 'Regional', 'Spanish', 'Persian', 'Ethiopian', 'Romanian', 'Cambodian', 'Pacific_Rim', 'Tunisian', 'Filipino', 'Dim_Sum', 'Breakfast-Brunch', 'Contemporary', 'Greek', 'Thai', 'Swiss', 'Bar', 'Soup', 'American', 'Mongolian', 'Cajun-Creole', 'Armenian', 'Indigenous', 'Bar_Pub_Brewery', 'Hawaiian', 'Cafeteria', 'Lebanese', 'Chinese', 'Portuguese', 'Caribbean', 'Indonesian', 'Hungarian', 'Bakery', 'Dutch-Belgian', 'Deli-Sandwiches', 'Kosher', 'Fine_Dining', 'Jamaican', 'Tibetan', 'Latin_American', 'Southeast_Asian', 'Eastern_European', 'Mexican', 'Burmese', 'California', 'Game', 'Italian', 'Scandinavian', 'Chilean', 'Polish', 'North_African', 'Asian', 'Vietnamese', 'Barbecue', 'French', 'Brazilian', 'Southern', 'Dessert-Ice_Cream']"
U1136,['low'],['22.149607'],['-100.997235'],['true'],['Mexican']
U1137,['low'],['22.144803'],['-100.944623'],['false'],['Mexican']
U1138,['medium'],['22.152884'],['-100.939663'],['false'],['Pizzeria']
