userid,budget,lat,long,smoker
U1085,['?'],['22.196787'],['-100.936335'],['false']
U1086,['medium'],['22.157281'],['-100.98444'],['false']
U1087,['medium'],['23.753336'],['-99.167984'],['false']
U1088,['medium'],['22.142748'],['-100.940664'],['false']
U1089,['low'],['22.162562'],['-100.99313'],['true']
U1090,['medium'],['22.158473'],['-100.984268'],['false']
U1091,['low'],['22.154677'],['-100.949013'],['false']
U1092,['medium'],['22.125365'],['-100.947888'],['false']
U1093,['medium'],['18.871654'],['-99.183251'],['true']
U1094,['medium'],['23.73944'],['-99.160548'],['false']
U1095,['medium'],['22.179865'],['-101.018547'],['false']
U1096,['medium'],['22.1455'],['-100.939593'],['false']
U1097,['medium'],['22.145471'],['-100.939588'],['false']
U1098,['medium'],['22.182571'],['-100.963232'],['false']
U1099,['high'],['22.184862'],['-100.970535'],['true']
U1100,['medium'],['18.879729'],['-99.067106'],['false']
U1101,['low'],['22.150891'],['-100.974891'],['false']
U1102,['low'],['22.137131'],['-100.941151'],['false']
U1103,['medium'],['23.752265'],['-99.16859'],['false']
U1104,['medium'],['22.149005'],['-100.978153'],['true']
U1105,['medium'],['22.120019'],['-100.950991'],['false']
U1106,['medium'],['18.927072'],['-99.173584'],['false']
U1107,['high'],['23.742409'],['-99.171889'],['false']
U1108,['medium'],['22.143524'],['-100.987562'],['false']
U1109,['low'],['22.303308'],['-101.05468'],['false']
U1110,['medium'],['18.871678'],['-99.183263'],['false']
U1111,['medium'],['22.143078'],['-100.908523'],['true']
U1112,['medium'],['22.143078'],['-100.908523'],['true']
U1113,['medium'],['22.137343'],['-100.913935'],['false']
U1114,['medium'],['22.177726'],['-101.014094'],['false']
U1115,['low'],['22.138127'],['-100.920512'],['true']
U1116,['medium'],['22.156469'],['-100.98554'],['false']
U1117,['medium'],['18.875641'],['-99.220737'],['false']
U1118,['medium'],['18.940062'],['-99.228172'],['true']
U1119,['medium'],['18.96479'],['-99.260017'],['false']
U1120,['low'],['22.121857'],['-100.904279'],['false']
U1121,['medium'],['18.871674'],['-99.183253'],['false']
U1122,['?'],['22.169601'],['-100.991821'],['?']
U1123,['medium'],['23.753112'],['-99.168567'],['false']
U1124,['low'],['22.137072'],['-100.918865'],['false']
U1125,['low'],['22.19204'],['-100.956935'],['false']
U1126,['low'],['22.15421'],['-100.942233'],['false']
U1127,['low'],['18.943935'],['-99.206532'],['false']
U1128,['low'],['22.187236'],['-100.994213'],['false']
U1129,['low'],['23.728798'],['-99.134047'],['false']
U1130,['?'],['23.733'],['-99.133'],['?']
U1131,['medium'],['22.138245'],['-100.910948'],['true']
U1132,['?'],['22.15'],['-100.983'],['false']
U1133,['medium'],['18.886698'],['-99.114979'],['false']
U1134,['medium'],['22.149654'],['-100.99861'],['false']
U1135,['low'],['22.170396'],['-100.949936'],['false']
U1136,['low'],['22.149607'],['-100.997235'],['true']
U1137,['low'],['22.144803'],['-100.944623'],['false']
U1138,['medium'],['22.152884'],['-100.939663'],['false']
