,cuisine,lat,long,name,payment,placeid,price,rating,smoking_area
50,['Fast_Food'],['18.933537'],['-99.222497'],['Subway'],['cash'],135021,['low'],2.59,['not permitted']
51,['Mexican'],['22.14955'],['-100.97797'],['El Rincon de San Francisco'],"['cash', 'VISA', 'MasterCard-Eurocard', 'American_Express']",135025,['medium'],3.94,['none']
52,['Mexican'],['22.147145'],['-100.974494'],['Restaurant Orizatlan'],"['cash', 'VISA', 'MasterCard-Eurocard', 'American_Express']",135027,['medium'],2.71,['none']
53,['Mexican'],['22.146658'],['-100.987219'],['La Virreina'],"['cash', 'VISA', 'MasterCard-Eurocard', 'American_Express']",135028,['medium'],3.5,['none']
54,"['Cafe-Coffee_Shop', 'Cafeteria']",['22.14788'],['-100.989472'],['Preambulo Wifi Zone Cafe'],['cash'],135030,['medium'],3.61,['none']
55,"['Cafeteria', 'Contemporary']",['22.152481'],['-100.973486'],['Cafeteria y Restaurant El Pacifico'],"['cash', 'VISA', 'MasterCard-Eurocard']",135032,['medium'],2.77,['section']
56,['Japanese'],['22.140517'],['-101.021422'],['Michiko Restaurant Japones'],"['cash', 'VISA', 'MasterCard-Eurocard', 'American_Express']",135034,['medium'],4.67,['none']
57,['Italian'],['22.145813'],['-101.018032'],['El Mundo de la Pasta'],"['cash', 'VISA', 'MasterCard-Eurocard', 'American_Express']",135035,['high'],3.75,['section']
58,['Seafood'],['22.145893'],['-100.97487'],['Restaurant de Mariscos de Picon'],['cash'],135039,['low'],2.78,['section']
59,"['Bar', 'Cafeteria']",['22.15106'],['-100.977659'],['Luna Cafe'],['cash'],135041,['medium'],2.79,['none']
60,['Chinese'],['22.159357'],['-100.973411'],['Restaurant Oriental Express'],['cash'],135042,['medium'],3.04,['none']
61,"['Fast_Food', 'Pizzeria']",['22.185756'],['-100.944518'],['pizza clasica'],['cash'],135043,['medium'],2.59,['none']
62,['Chinese'],['22.141848'],['-100.997475'],['Restaurant Wu Zhuo Yi'],['cash'],135044,['medium'],2.92,['none']
63,['Fast_Food'],['22.141282'],['-101.002958'],['Restaurante El Reyecito'],"['cash', 'VISA', 'MasterCard-Eurocard']",135046,['medium'],2.8,['none']
64,['Bar'],['22.142017'],['-100.999246'],['Restaurante Bar Fu-hao'],"['cash', 'VISA', 'MasterCard-Eurocard', 'American_Express']",135048,['high'],3.06,['none']
65,['Seafood'],['22.135011'],['-101.0286'],['Restaurante de Mariscos la Langosta'],['cash'],135049,['medium'],2.17,['none']
66,"['Bar', 'Bar_Pub_Brewery']",['22.150981'],['-100.977412'],['La Cantina Restaurante'],"['cash', 'VISA', 'MasterCard-Eurocard']",135052,['high'],3,['none']
67,"['Cafeteria', 'Fast_Food', 'Pizzeria']",['22.178931'],['-101.012861'],['La Fontana Pizza Restaurante and Cafe'],"['cash', 'VISA', 'MasterCard-Eurocard', 'American_Express']",135053,['high'],2.4,['section']
68,['Seafood'],['22.140626'],['-100.915657'],['Restaurante y Pescaderia Tampico'],"['cash', 'VISA', 'MasterCard-Eurocard']",135054,['medium'],2.42,['none']
69,['Mexican'],['22.148854'],['-101.008472'],['la Cochinita Pibil Restaurante Yucateco'],"['cash', 'VISA', 'MasterCard-Eurocard', 'American_Express']",135055,['high'],4.29,['section']
70,['Bar'],['22.145992'],['-100.955118'],['El Herradero Restaurante and Bar'],"['cash', 'VISA', 'MasterCard-Eurocard', 'American_Express']",135057,['medium'],3.28,['section']
71,['Pizzeria'],['22.165587'],['-101.001273'],['Restaurante Tiberius'],"['cash', 'VISA', 'MasterCard-Eurocard']",135058,['medium'],2.59,['none']
72,['Bar'],['22.145108'],['-100.989547'],['Restaurant Bar Hacienda los Martinez'],['cash'],135059,['medium'],3.7,['section']
73,['Seafood'],['22.156883'],['-100.978485'],['Restaurante Marisco Sam'],['cash'],135060,['medium'],2.88,['none']
74,['Bar'],['22.140129'],['-100.944872'],['Abondance Restaurante Bar'],['cash'],135069,['medium'],1.46,['none']
75,"['Bar', 'Bar_Pub_Brewery']",['22.126375'],['-100.910926'],['Restaurante la Cantina'],"['cash', 'VISA', 'MasterCard-Eurocard', 'American_Express']",135071,['medium'],2.13,['section']
76,['Japanese'],['22.149192'],['-101.002936'],['Sushi Itto'],"['cash', 'VISA', 'MasterCard-Eurocard', 'American_Express']",135072,['medium'],3.23,['none']
77,"['Bar', 'Bar_Pub_Brewery']",['22.147175'],['-100.974269'],['Restaurante Bar El Gallinero'],"['cash', 'VISA', 'MasterCard-Eurocard']",135073,['high'],3.33,['section']
78,['Contemporary'],['22.149689'],['-100.999525'],['Restaurante la Parroquia Potosina'],"['cash', 'VISA', 'MasterCard-Eurocard']",135074,['high'],4.38,['section']
79,['Seafood'],['22.139573'],['-100.991564'],['Mariscos El Pescador'],['cash'],135075,['medium'],4.04,['none']
80,['Chinese'],['22.156376'],['-100.998355'],['Koye Sushi'],"['cash', 'American_Express']",135079,['high'],2.7,['none']
81,['Fast_Food'],['22.150802'],['-100.98268'],['Tortas Locas Hipocampo'],['cash'],135085,['medium'],3.31,['not permitted']
82,"['Burgers', 'Fast_Food']",['22.141421'],['-101.013955'],['Mcdonalds Parque Tangamanga'],"['cash', 'VISA', 'MasterCard-Eurocard']",135086,['medium'],1.83,['not permitted']
83,['Cafeteria'],['18.8760113'],['-99.2198896'],['Cafeteria cenidet'],['cash'],135088,['low'],2.64,['not permitted']
84,['Mexican'],['23.7529821'],['-99.1684341'],['vips'],"['cash', 'VISA', 'MasterCard-Eurocard']",135104,['medium'],2.62,['not permitted']
85,['Mexican'],['22.1497088'],['-100.9760928'],['El Rinc\xef\xbf\xbdn de San Francisco'],"['cash', 'VISA', 'MasterCard-Eurocard']",135106,['medium'],3,['only at bar']
86,['Italian'],['18.9217848'],['-99.2353499'],['Paniroles'],['cash'],135109,['medium'],2.5,['not permitted']
